City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,arlit,7.3853,18.7369,22.89,16,6,3.06,NE,1670118956
341,deputatskiy,139.9,69.3,-27.62,96,100,2.34,RU,1670119004
342,brandon,-82.2859,27.9378,21.69,81,40,2.68,US,1670118941
343,avera,-82.5271,33.194,16.73,92,87,2.62,US,1670119005
344,ribeira+grande,-28.7,38.5167,15.43,79,99,5.36,PT,1670118935
345,naerbo,5.65,58.6667,2.23,75,0,3.63,NO,1670119005
346,barre,-72.5021,44.197,5.26,72,47,5.97,US,1670119006
347,mareeba,145.4333,-17.0,30.24,52,7,1.73,AU,1670119006
348,okha,142.9478,53.5739,-15.31,85,100,9.79,RU,1670119007
349,jieshi,115.8257,22.8134,20.47,72,0,3.28,CN,1670119007
350,pochutla,-96.4661,15.7432,26.57,71,0,1.51,MX,1670119008
351,hobyo,48.5268,5.3505,25.97,71,89,8.67,SO,1670119008
352,isangel,169.2667,-19.55,29.08,74,100,3.85,VU,1670118768
353,lorengau,147.2712,-2.0226,27.75,78,100,2.93,PG,1670118999
354,axim,-2.2405,4.8699,25.13,87,95,1.59,GH,1670119010
355,mamallapuram,80.1722,12.6264,26.03,82,100,4.64,IN,1670118718
356,mehamn,27.8492,71.0357,-3.05,80,40,9.26,NO,1670119010
357,stryn,6.7226,61.9045,-2.6,66,25,1.7,NO,1670119011
358,little+current,-81.9248,45.9793,-3.63,68,88,0.89,CA,1670119011
359,nguru,10.4526,12.8791,22.85,23,80,4.27,NG,1670119012
360,pierre,-100.351,44.3683,-4.97,55,4,3.13,US,1670119012
361,mocuba,36.9856,-16.8392,22.8,80,0,2.07,MZ,1670119013
